                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2312,                 1.5614,                 1.2194,                0.94945,                0.88468,                0.94354,                 0.6092,                 1.2201,                0.85083,                 1.2046,              0.0033309,              0.0033309,              0.0033309
                      2,                 1.2409,                0.86209,                 1.2166,                0.94394,                0.91289,                0.95251,                0.61307,                 1.2393,                0.74767,                 1.2752,              0.0065982,              0.0065982,              0.0065982
                      3,                 1.2893,                0.84034,                 1.2625,                0.93156,                0.87867,                0.93489,                0.58741,                 1.3165,                0.74866,                  1.355,              0.0097996,              0.0097996,              0.0097996
                      4,                 1.2984,                0.81521,                 1.2878,                0.95388,                0.91025,                0.95705,                0.62933,                 1.2337,                0.65315,                 1.3185,               0.009703,               0.009703,               0.009703
                      5,                 1.2591,                0.74912,                  1.263,                0.96303,                0.93036,                0.96903,                 0.6468,                 1.2103,                0.57549,                 1.2845,               0.009604,               0.009604,               0.009604
                      6,                  1.225,                 0.7175,                 1.2438,                0.96209,                0.93173,                0.96963,                0.65802,                 1.1917,                0.55934,                 1.2857,               0.009505,               0.009505,               0.009505
                      7,                 1.2049,                0.68621,                 1.2374,                0.96541,                 0.9308,                 0.9703,                0.66941,                 1.1542,                0.55699,                 1.2534,               0.009406,               0.009406,               0.009406
                      8,                 1.1929,                0.67328,                 1.2306,                0.96129,                   0.94,                0.96866,                0.66589,                 1.1499,                 0.5269,                 1.2494,               0.009307,               0.009307,               0.009307
                      9,                 1.1786,                0.65054,                 1.2161,                0.97409,                0.94808,                0.97697,                0.67698,                 1.1244,                0.50253,                 1.2365,               0.009208,               0.009208,               0.009208
                     10,                 1.1691,                0.63452,                 1.2158,                0.97071,                 0.9478,                0.97929,                0.68908,                  1.111,                0.48812,                 1.2234,               0.009109,               0.009109,               0.009109
                     11,                 1.1571,                0.61938,                 1.2074,                0.97205,                0.95468,                 0.9801,                0.69493,                 1.0974,                0.47484,                 1.2159,                0.00901,                0.00901,                0.00901
                     12,                 1.1513,                0.61385,                 1.2059,                0.97379,                0.95441,                0.97877,                0.68671,                 1.0961,                0.47486,                 1.2154,               0.008911,               0.008911,               0.008911
                     13,                 1.1343,                0.60151,                 1.1906,                 0.9746,                0.95894,                 0.9828,                0.70003,                 1.0817,                0.46108,                 1.2019,               0.008812,               0.008812,               0.008812
                     14,                 1.1348,                0.59645,                 1.1941,                0.97743,                0.95923,                0.98272,                0.70406,                 1.0699,                0.44665,                 1.1899,               0.008713,               0.008713,               0.008713
                     15,                 1.1278,                0.58817,                 1.1911,                0.98026,                0.95908,                0.98452,                0.71083,                 1.0635,                0.43928,                 1.1849,               0.008614,               0.008614,               0.008614
                     16,                 1.1171,                0.58084,                 1.1816,                0.97737,                0.96414,                0.98682,                0.71592,                 1.0484,                0.42951,                 1.1743,               0.008515,               0.008515,               0.008515
                     17,                 1.1136,                0.57605,                 1.1744,                0.97819,                0.96473,                0.98638,                0.71884,                 1.0439,                0.41945,                  1.169,               0.008416,               0.008416,               0.008416
                     18,                 1.1132,                0.56864,                 1.1743,                0.97847,                  0.967,                0.98738,                0.71658,                 1.0418,                0.41655,                 1.1664,               0.008317,               0.008317,               0.008317
                     19,                 1.1088,                0.55759,                 1.1761,                0.98056,                0.96912,                0.98851,                0.72499,                 1.0298,                0.40632,                 1.1622,               0.008218,               0.008218,               0.008218
                     20,                 1.0983,                0.55201,                 1.1707,                0.97932,                0.96865,                0.98864,                0.72605,                 1.0252,                0.40422,                 1.1565,               0.008119,               0.008119,               0.008119
                     21,                 1.0998,                0.55553,                 1.1696,                0.98116,                 0.9683,                0.98952,                0.72918,                 1.0179,                 0.3963,                 1.1507,                0.00802,                0.00802,                0.00802
                     22,                 1.0902,                0.54339,                 1.1611,                0.98109,                0.96958,                 0.9901,                0.72999,                 1.0128,                0.39462,                   1.15,               0.007921,               0.007921,               0.007921
                     23,                 1.0876,                0.54873,                 1.1635,                0.98085,                0.97176,                0.98987,                0.73246,                  1.008,                0.39296,                 1.1482,               0.007822,               0.007822,               0.007822
                     24,                 1.0814,                0.53418,                 1.1586,                0.98142,                 0.9726,                0.99067,                 0.7362,                 1.0043,                0.38188,                 1.1414,               0.007723,               0.007723,               0.007723
                     25,                 1.0873,                0.53566,                 1.1603,                0.98244,                0.97293,                 0.9908,                0.73912,                0.99535,                0.37896,                 1.1369,               0.007624,               0.007624,               0.007624
                     26,                 1.0756,                0.52692,                 1.1546,                0.98088,                0.97425,                0.99109,                0.73999,                0.99262,                0.37673,                 1.1352,               0.007525,               0.007525,               0.007525
                     27,                 1.0741,                0.52619,                 1.1526,                0.98058,                0.97441,                0.99133,                0.74017,                 0.9899,                0.37352,                 1.1334,               0.007426,               0.007426,               0.007426
                     28,                 1.0715,                0.52335,                 1.1477,                0.98276,                0.97461,                0.99161,                0.74312,                0.98311,                0.37053,                 1.1281,               0.007327,               0.007327,               0.007327
                     29,                 1.0668,                0.52028,                 1.1479,                0.98385,                0.97512,                0.99199,                0.74606,                0.97711,                0.36645,                 1.1259,               0.007228,               0.007228,               0.007228
                     30,                 1.0591,                0.51587,                 1.1418,                0.98416,                0.97487,                0.99196,                  0.745,                0.97617,                  0.364,                 1.1247,               0.007129,               0.007129,               0.007129
                     31,                 1.0561,                0.51476,                  1.145,                0.98301,                0.97534,                0.99191,                0.74785,                0.96954,                0.36066,                 1.1196,                0.00703,                0.00703,                0.00703
                     32,                 1.0588,                0.51205,                 1.1448,                0.98262,                0.97803,                 0.9923,                0.74928,                0.96574,                 0.3581,                 1.1179,               0.006931,               0.006931,               0.006931
                     33,                 1.0545,                0.50737,                 1.1403,                0.98258,                0.97817,                0.99214,                0.75093,                0.96294,                0.35542,                 1.1152,               0.006832,               0.006832,               0.006832
                     34,                  1.047,                0.50426,                 1.1346,                0.98243,                0.97839,                0.99211,                 0.7524,                0.95909,                0.35292,                 1.1125,               0.006733,               0.006733,               0.006733
                     35,                 1.0451,                0.50157,                 1.1342,                0.98282,                0.97843,                0.99226,                0.75384,                0.95503,                0.35039,                 1.1095,               0.006634,               0.006634,               0.006634
                     36,                 1.0405,                0.49868,                 1.1309,                0.98275,                0.97919,                0.99247,                0.75405,                0.95299,                0.34809,                 1.1084,               0.006535,               0.006535,               0.006535
                     37,                   1.04,                0.49512,                 1.1324,                0.98413,                0.97888,                0.99279,                0.75538,                 0.9499,                0.34611,                 1.1066,               0.006436,               0.006436,               0.006436
                     38,                  1.039,                0.49644,                   1.13,                 0.9848,                0.97936,                0.99278,                0.75614,                0.94707,                0.34441,                 1.1049,               0.006337,               0.006337,               0.006337
                     39,                 1.0372,                0.49392,                 1.1306,                0.98593,                0.97876,                0.99282,                 0.7569,                0.94538,                0.34254,                 1.1038,               0.006238,               0.006238,               0.006238
                     40,                 1.0334,                0.49081,                 1.1257,                0.98588,                0.97901,                 0.9929,                0.75863,                0.94216,                0.34108,                 1.1019,               0.006139,               0.006139,               0.006139
                     41,                 1.0283,                0.48866,                 1.1259,                0.98598,                0.97887,                0.99289,                0.75902,                0.94031,                0.34063,                 1.1008,                0.00604,                0.00604,                0.00604
                     42,                 1.0286,                0.48423,                  1.125,                0.98625,                0.97874,                0.99294,                0.75945,                0.93817,                0.33941,                 1.0998,               0.005941,               0.005941,               0.005941
                     43,                 1.0256,                0.48239,                 1.1269,                0.98634,                0.97852,                0.99294,                0.76097,                0.93559,                0.33755,                 1.0985,               0.005842,               0.005842,               0.005842
                     44,                 1.0241,                0.47556,                 1.1204,                0.98639,                0.97905,                0.99304,                0.76172,                0.93372,                0.33625,                 1.0975,               0.005743,               0.005743,               0.005743
                     45,                 1.0164,                0.47403,                 1.1171,                0.98603,                0.97957,                0.99302,                0.76255,                0.93139,                0.33463,                 1.0964,               0.005644,               0.005644,               0.005644
                     46,                  1.018,                0.47478,                 1.1195,                0.98626,                0.97979,                0.99304,                0.76363,                0.92932,                0.33337,                 1.0951,               0.005545,               0.005545,               0.005545
                     47,                 1.0092,                0.46766,                 1.1123,                0.98644,                0.98015,                0.99306,                0.76426,                0.92743,                0.33247,                 1.0941,               0.005446,               0.005446,               0.005446
                     48,                 1.0049,                0.46696,                 1.1096,                0.98587,                0.98087,                0.99308,                 0.7649,                0.92579,                0.33195,                  1.093,               0.005347,               0.005347,               0.005347
                     49,                  1.008,                0.46999,                 1.1126,                0.98575,                0.98149,                0.99315,                0.76555,                0.92444,                0.33081,                 1.0921,               0.005248,               0.005248,               0.005248
                     50,                 1.0035,                0.46393,                 1.1116,                0.98588,                0.98122,                0.99317,                0.76613,                0.92287,                 0.3301,                 1.0913,               0.005149,               0.005149,               0.005149
                     51,                 1.0062,                0.46436,                 1.1121,                0.98588,                0.98118,                0.99312,                0.76666,                0.92142,                0.32923,                 1.0904,                0.00505,                0.00505,                0.00505
                     52,                 0.9961,                0.46229,                 1.1078,                0.98585,                0.98114,                0.99311,                0.76715,                0.91987,                0.32827,                 1.0896,               0.004951,               0.004951,               0.004951
                     53,                0.99145,                0.45509,                 1.1071,                0.98566,                0.98149,                0.99317,                0.76777,                0.91843,                 0.3277,                 1.0887,               0.004852,               0.004852,               0.004852
                     54,                0.98858,                0.45487,                 1.1042,                0.98569,                0.98181,                0.99322,                0.76861,                0.91711,                0.32687,                 1.0878,               0.004753,               0.004753,               0.004753
                     55,                0.99233,                0.45218,                 1.1043,                0.98576,                0.98185,                0.99326,                0.76908,                0.91594,                0.32607,                 1.0869,               0.004654,               0.004654,               0.004654
                     56,                0.98852,                0.45267,                 1.1023,                0.98616,                 0.9815,                0.99327,                0.76973,                0.91458,                0.32537,                 1.0859,               0.004555,               0.004555,               0.004555
                     57,                 0.9841,                0.44817,                 1.1008,                0.98606,                0.98175,                0.99327,                 0.7698,                0.91318,                0.32462,                 1.0851,               0.004456,               0.004456,               0.004456
                     58,                0.98116,                0.44742,                 1.0972,                0.98589,                0.98193,                0.99329,                0.77032,                0.91188,                0.32407,                 1.0842,               0.004357,               0.004357,               0.004357
                     59,                0.97647,                0.44577,                 1.0975,                0.98598,                0.98201,                 0.9933,                0.77084,                0.91048,                0.32332,                 1.0834,               0.004258,               0.004258,               0.004258
                     60,                0.97267,                0.44269,                 1.0952,                0.98595,                0.98212,                0.99332,                0.77143,                0.90917,                0.32256,                 1.0826,               0.004159,               0.004159,               0.004159
                     61,                0.97194,                0.44036,                 1.0961,                0.98615,                0.98201,                0.99338,                 0.7718,                 0.9078,                0.32186,                 1.0817,                0.00406,                0.00406,                0.00406
                     62,                0.96518,                0.43622,                 1.0891,                0.98644,                0.98203,                0.99339,                0.77211,                0.90659,                0.32125,                 1.0809,               0.003961,               0.003961,               0.003961
                     63,                0.96559,                0.44049,                 1.0931,                0.98637,                0.98225,                0.99345,                0.77213,                0.90546,                0.32077,                 1.0802,               0.003862,               0.003862,               0.003862
                     64,                0.96783,                0.43665,                 1.0919,                 0.9865,                0.98243,                 0.9934,                0.77287,                0.90413,                0.32018,                 1.0794,               0.003763,               0.003763,               0.003763
                     65,                0.96432,                0.43374,                 1.0882,                0.98608,                0.98304,                0.99342,                0.77306,                0.90294,                0.31942,                 1.0785,               0.003664,               0.003664,               0.003664
                     66,                0.95997,                0.42857,                 1.0863,                0.98614,                0.98306,                0.99352,                0.77344,                0.90149,                0.31878,                 1.0777,               0.003565,               0.003565,               0.003565
                     67,                0.95779,                0.43128,                 1.0876,                  0.986,                0.98318,                0.99351,                0.77411,                0.90013,                0.31817,                 1.0769,               0.003466,               0.003466,               0.003466
                     68,                0.95284,                 0.4249,                 1.0839,                0.98614,                 0.9835,                0.99356,                0.77473,                0.89874,                0.31746,                 1.0761,               0.003367,               0.003367,               0.003367
                     69,                0.94902,                0.42234,                 1.0821,                0.98632,                0.98377,                0.99358,                0.77518,                0.89739,                0.31685,                 1.0753,               0.003268,               0.003268,               0.003268
                     70,                0.94565,                0.42056,                 1.0792,                0.98627,                 0.9842,                0.99361,                  0.776,                0.89589,                0.31609,                 1.0744,               0.003169,               0.003169,               0.003169
                     71,                0.93709,                0.41306,                 1.0758,                0.98645,                0.98438,                0.99362,                0.77653,                0.89458,                0.31551,                 1.0736,                0.00307,                0.00307,                0.00307
                     72,                0.94266,                0.41992,                 1.0786,                0.98641,                0.98465,                0.99363,                 0.7769,                0.89309,                0.31471,                 1.0727,               0.002971,               0.002971,               0.002971
                     73,                0.93842,                0.41813,                 1.0775,                0.98619,                0.98456,                0.99362,                 0.7776,                0.89169,                0.31417,                 1.0718,               0.002872,               0.002872,               0.002872
                     74,                0.93191,                0.41214,                  1.074,                0.98629,                 0.9847,                0.99367,                0.77807,                0.89021,                0.31343,                  1.071,               0.002773,               0.002773,               0.002773
                     75,                0.93158,                0.41327,                 1.0731,                0.98646,                0.98483,                 0.9937,                0.77831,                0.88873,                0.31284,                 1.0701,               0.002674,               0.002674,               0.002674
                     76,                0.92381,                0.40811,                 1.0703,                0.98655,                0.98492,                0.99372,                0.77901,                 0.8872,                0.31225,                 1.0692,               0.002575,               0.002575,               0.002575
                     77,                0.92318,                0.40741,                  1.068,                0.98664,                0.98497,                0.99373,                0.77958,                0.88572,                0.31157,                 1.0682,               0.002476,               0.002476,               0.002476
                     78,                0.92349,                0.40718,                  1.068,                0.98665,                0.98497,                0.99376,                0.78016,                0.88407,                0.31077,                 1.0672,               0.002377,               0.002377,               0.002377
                     79,                0.91468,                0.40095,                 1.0666,                 0.9869,                0.98491,                0.99377,                0.78048,                0.88248,                0.31006,                 1.0662,               0.002278,               0.002278,               0.002278
                     80,                 0.9136,                0.39679,                 1.0645,                 0.9874,                0.98506,                 0.9938,                0.78112,                0.88081,                0.30923,                 1.0653,               0.002179,               0.002179,               0.002179
                     81,                0.90903,                0.39876,                 1.0624,                 0.9874,                0.98537,                 0.9938,                0.78164,                0.87912,                0.30851,                 1.0643,                0.00208,                0.00208,                0.00208
                     82,                0.91231,                0.39752,                 1.0623,                0.98751,                0.98528,                 0.9938,                0.78245,                0.87755,                0.30787,                 1.0633,               0.001981,               0.001981,               0.001981
                     83,                 0.9028,                0.39075,                 1.0595,                0.98752,                0.98538,                0.99381,                  0.783,                0.87594,                0.30694,                 1.0623,               0.001882,               0.001882,               0.001882
                     84,                0.89784,                0.39177,                 1.0575,                0.98761,                0.98549,                0.99383,                0.78365,                0.87413,                0.30616,                 1.0613,               0.001783,               0.001783,               0.001783
                     85,                0.90103,                0.39398,                 1.0568,                0.98783,                0.98547,                0.99382,                0.78415,                0.87254,                0.30538,                 1.0603,               0.001684,               0.001684,               0.001684
                     86,                0.89319,                0.38857,                 1.0531,                0.98781,                0.98555,                0.99386,                0.78459,                0.87078,                 0.3047,                 1.0593,               0.001585,               0.001585,               0.001585
                     87,                 0.8929,                0.38677,                 1.0495,                0.98794,                 0.9855,                0.99388,                0.78571,                0.86899,                0.30378,                 1.0581,               0.001486,               0.001486,               0.001486
                     88,                0.88338,                 0.3805,                 1.0481,                0.98814,                0.98557,                0.99388,                0.78674,                0.86728,                0.30308,                 1.0571,               0.001387,               0.001387,               0.001387
                     89,                0.87778,                0.38042,                 1.0492,                 0.9882,                0.98595,                 0.9939,                0.78736,                0.86545,                0.30228,                  1.056,               0.001288,               0.001288,               0.001288
                     90,                0.87418,                0.37808,                 1.0457,                0.98806,                0.98638,                0.99392,                0.78814,                 0.8636,                0.30156,                 1.0549,               0.001189,               0.001189,               0.001189
                     91,                0.85516,                 0.3195,                 1.0578,                0.98798,                0.98661,                0.99394,                0.78863,                0.86162,                 0.3008,                 1.0538,                0.00109,                0.00109,                0.00109
                     92,                0.84604,                0.31422,                 1.0557,                0.98762,                0.98719,                0.99394,                0.78932,                0.85959,                0.29997,                 1.0526,               0.000991,               0.000991,               0.000991
                     93,                 0.8388,                0.31304,                 1.0482,                0.98759,                0.98745,                0.99396,                0.79029,                0.85745,                0.29913,                 1.0514,               0.000892,               0.000892,               0.000892
                     94,                0.83356,                0.30967,                 1.0461,                 0.9876,                0.98768,                0.99397,                0.79115,                0.85545,                0.29833,                 1.0502,               0.000793,               0.000793,               0.000793
                     95,                 0.8264,                0.30721,                 1.0431,                0.98786,                0.98773,                0.99397,                0.79176,                0.85318,                0.29756,                  1.049,               0.000694,               0.000694,               0.000694
                     96,                0.82043,                0.30434,                 1.0396,                0.98865,                0.98745,                  0.994,                0.79224,                0.85106,                0.29688,                 1.0478,               0.000595,               0.000595,               0.000595
                     97,                0.81615,                0.30157,                 1.0362,                0.98904,                0.98748,                0.99402,                0.79289,                0.84884,                0.29601,                 1.0465,               0.000496,               0.000496,               0.000496
                     98,                0.81045,                0.30025,                 1.0361,                0.98909,                0.98768,                0.99402,                0.79349,                0.84671,                0.29528,                 1.0454,               0.000397,               0.000397,               0.000397
                     99,                 0.8087,                0.29826,                 1.0339,                0.98922,                0.98772,                0.99403,                0.79472,                0.84447,                0.29457,                 1.0441,               0.000298,               0.000298,               0.000298
                    100,                0.80357,                0.29586,                 1.0313,                0.98936,                0.98786,                0.99405,                0.79569,                 0.8423,                0.29378,                 1.0429,               0.000199,               0.000199,               0.000199
